n|p|i|max_pos|max_pos_group|df|idf|dfidf
16|1.6586085932511215e-05|15.879667002367514|NN|NN|12|7.352411319470993|88.22893583365192
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|NN|NN|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|VBP|VB|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|IN|IN|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|RB|RB|1|10.93737382019215|10.93737382019215
943|0.0009775424396473798|9.998553041692418|RB|RB|381|2.363726632698827|900.579847058253
92|9.53699941119395e-05|13.356105046310502|IN|IN|69|4.82884936341398|333.1906060755646
60|6.219782224691707e-05|13.972776406758996|NN|NN|40|5.615445725304786|224.61782901219146
